name,pokedex_number,type1,type2,abilities,generation,is_legendary,base_total,capture_rate,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,classfication,defense,experience_growth,height_m,hp,japanese_name,percentage_male,sp_attack,sp_defense,speed,weight_kg
Hypno,97,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",1,0,483,75,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,73,5120,70,Hypnosis Pokémon,70,1000000,1.6,85,Sleeperスリーパー,50,73,115,67,75.6
Krabby,98,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,0,325,225,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,River Crab Pokémon,90,1000000,0.4,30,Crabクラブ,50,25,25,50,6.5
Kingler,99,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,0,475,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,5120,70,Pincer Pokémon,115,1000000,1.3,55,Kinglerキングラー,50,50,50,75,60
Voltorb,100,electric,,"['Soundproof', 'Static', 'Aftermath']",1,0,330,190,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,5120,70,Ball Pokémon,50,1000000,0.5,40,Biriridamaビリリダマ,,55,55,100,10.4
Electrode,101,electric,,"['Soundproof', 'Static', 'Aftermath']",1,0,490,60,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,Ball Pokémon,70,1000000,1.2,60,Marumineマルマイン,,80,80,150,66.6
Exeggcute,102,grass,psychic,"['Chlorophyll', 'Harvest']",1,0,325,90,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,5120,70,Egg Pokémon,80,1250000,0.4,60,Tamatamaタマタマ,50,60,45,40,2.5
Exeggutor,103,grass,psychic,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",1,0,530,45,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,5120,70,Coconut Pokémon,85,1250000,,95,Nassyナッシー,50,125,75,45,
Cubone,104,ground,,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,0,320,190,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,Lonely Pokémon,95,1000000,0.4,50,Karakaraカラカラ,50,40,50,35,6.5
Marowak,105,ground,fire,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,0,425,75,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,5120,70,Bone Keeper Pokémon,110,1000000,,60,Garagaraガラガラ,50,50,80,45,
Hitmonlee,106,fighting,,"['Limber', 'Reckless', 'Unburden']",1,0,455,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,6400,70,Kicking Pokémon,53,1000000,1.5,50,Sawamularサワムラー,100,35,110,87,49.8
Hitmonchan,107,fighting,,"['Keen Eye', 'Iron Fist', 'Inner Focus']",1,0,455,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,6400,70,Punching Pokémon,79,1000000,1.4,50,Ebiwalarエビワラー,100,35,110,76,50.2
Lickitung,108,normal,,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,0,385,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,Licking Pokémon,75,1000000,1.2,90,Beroringaベロリンガ,50,60,75,30,65.5
Koffing,109,poison,,['Levitate'],1,0,340,190,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,5120,70,Poison Gas Pokémon,95,1000000,0.6,40,Dogarsドガース,50,60,45,35,1
Weezing,110,poison,,['Levitate'],1,0,490,60,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,5120,70,Poison Gas Pokémon,120,1000000,1.2,65,Matadogasマタドガス,50,85,70,60,9.5
Rhyhorn,111,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",1,0,345,120,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,5120,70,Spikes Pokémon,95,1250000,1,80,Sihornサイホーン,50,30,30,25,115
Rhydon,112,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",1,0,485,60,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,5120,70,Drill Pokémon,120,1250000,1.9,105,Sidonサイドン,50,45,45,40,120
Chansey,113,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",1,0,450,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,Egg Pokémon,5,800000,1.1,250,Luckyラッキー,0,35,105,50,34.6
Tangela,114,grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",1,0,435,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,5120,70,Vine Pokémon,115,1000000,1,65,Monjaraモンジャラ,50,100,40,60,35
Kangaskhan,115,normal,,"['Early Bird', 'Scrappy', 'Inner Focus']",1,0,590,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,5120,70,Parent Pokémon,100,1000000,2.2,105,Garuraガルーラ,0,60,100,100,80
Horsea,116,water,,"['Swift Swim', 'Sniper', 'Damp']",1,0,295,225,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,5120,70,Dragon Pokémon,70,1000000,0.4,30,Tattuタッツー,50,70,25,60,8
Seadra,117,water,,"['Poison Point', 'Sniper', 'Damp']",1,0,440,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,Dragon Pokémon,95,1000000,1.2,55,Seadraシードラ,50,95,45,85,25
Goldeen,118,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,0,320,225,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,5120,70,Goldfish Pokémon,60,1000000,0.6,45,Tosakintoトサキント,50,35,50,63,15
Seaking,119,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,0,450,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,5120,70,Goldfish Pokémon,65,1000000,1.3,80,Azumaoアズマオウ,50,65,80,68,39
Staryu,120,water,,"['Illuminate', 'Natural Cure', 'Analytic']",1,0,340,225,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,Starshape Pokémon,55,1250000,0.8,30,Hitodemanヒトデマン,,70,55,85,34.5
Starmie,121,water,psychic,"['Illuminate', 'Natural Cure', 'Analytic']",1,0,520,60,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,Mysterious Pokémon,85,1250000,1.1,60,Starmieスターミー,,100,85,115,80
Mr. Mime,122,psychic,fairy,"['Soundproof', 'Filter', 'Technician']",1,0,460,45,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,6400,70,Barrier Pokémon,65,1000000,1.3,40,Barrierdバリヤード,50,100,120,90,54.5
Scyther,123,bug,flying,"['Swarm', 'Technician', 'Steadfast']",1,0,500,45,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,6400,70,Mantis Pokémon,80,1000000,1.5,70,Strikeストライク,50,55,80,105,56
Jynx,124,ice,psychic,"['Oblivious', 'Forewarn', 'Dry Skin']",1,0,455,45,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,6400,70,Humanshape Pokémon,35,1000000,1.4,65,Rougelaルージュラ,0,115,95,95,40.6
Electabuzz,125,electric,,"['Static', 'Vital Spirit']",1,0,490,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,6400,70,Electric Pokémon,57,1000000,1.1,65,Elebooエレブー,75.4,95,85,105,30
Magmar,126,fire,,"['Flame Body', 'Vital Spirit']",1,0,495,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,6400,70,Spitfire Pokémon,57,1000000,1.3,65,Booberブーバー,75.4,100,85,93,44.5
Pinsir,127,bug,,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,0,600,45,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,6400,70,Stagbeetle Pokémon,120,1250000,1.5,65,Kailiosカイロス,50,65,90,105,55
Tauros,128,normal,,"['Intimidate', 'Anger Point', 'Sheer Force']",1,0,490,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,70,Wild Bull Pokémon,95,1250000,1.4,75,Kentaurosケンタロス,100,40,70,110,88.4
Magikarp,129,water,,"['Swift Swim', 'Rattled']",1,0,200,255,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,1280,70,Fish Pokémon,55,1250000,0.9,20,Koikingコイキング,50,15,20,80,10
Gyarados,130,water,flying,"['Intimidate', 'Moxie']",1,0,640,45,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,1280,70,Atrocious Pokémon,109,1250000,6.5,95,Gyaradosギャラドス,50,70,130,81,235
Lapras,131,water,ice,"['Water Absorb', 'Shell Armor', 'Hydration']",1,0,535,45,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,10240,70,Transport Pokémon,80,1250000,2.5,130,Laplaceラプラス,50,85,95,60,220
Ditto,132,normal,,"['Limber', 'Imposter']",1,0,288,35,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,Transform Pokémon,48,1000000,0.3,48,Metamonメタモン,,48,48,48,4
Eevee,133,normal,,"['Run Away', 'Adaptability', 'Anticipation']",1,0,325,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,8960,70,Evolution Pokémon,50,1000000,0.3,55,Eievuiイーブイ,88.1,45,65,55,6.5
Vaporeon,134,water,,"['Water Absorb', 'Hydration']",1,0,525,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,8960,70,Bubble Jet Pokémon,60,1000000,1,130,Showersシャワーズ,88.1,110,95,65,29
Jolteon,135,electric,,"['Volt Absorb', 'Quick Feet']",1,0,525,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,8960,70,Lightning Pokémon,60,1000000,0.8,65,Thundersサンダース,88.1,110,95,130,24.5
Flareon,136,fire,,"['Flash Fire', 'Guts']",1,0,525,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,130,8960,70,Flame Pokémon,60,1000000,0.9,65,Boosterブースター,88.1,95,110,65,25
Porygon,137,normal,,"['Trace', 'Download', 'Analytic']",1,0,395,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,Virtual Pokémon,70,1000000,0.8,65,Porygonポリゴン,,85,75,40,36.5
Omanyte,138,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,0,355,45,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,40,7680,70,Spiral Pokémon,100,1000000,0.4,35,Omniteオムナイト,88.1,90,55,35,7.5
Omastar,139,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,0,495,45,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,7680,70,Spiral Pokémon,125,1000000,1,70,Omstarオムスター,88.1,115,70,55,35
Kabuto,140,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,0,355,45,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,7680,70,Shellfish Pokémon,90,1000000,0.5,30,Kabutoカブト,88.1,55,45,55,11.5
Kabutops,141,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,0,495,45,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,115,7680,70,Shellfish Pokémon,105,1000000,1.3,60,Kabutopsカブトプス,88.1,65,70,80,40.5
Aerodactyl,142,rock,flying,"['Rock Head', 'Pressure', 'Unnerve']",1,0,615,45,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,8960,70,Fossil Pokémon,85,1250000,1.8,80,Pteraプテラ,88.1,70,95,150,59
Snorlax,143,normal,,"['Immunity', 'Thick Fat', 'Gluttony']",1,0,540,25,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,10240,70,Sleeping Pokémon,65,1250000,2.1,160,Kabigonカビゴン,88.1,65,110,30,460
Articuno,144,ice,flying,"['Pressure', 'Snow Cloak']",1,1,580,3,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,20480,35,Freeze Pokémon,100,1250000,1.7,90,Freezerフリーザー,,95,125,85,55.4
Zapdos,145,electric,flying,"['Pressure', 'Static']",1,1,580,3,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,20480,35,Electric Pokémon,85,1250000,1.6,90,Thunderサンダー,,125,90,100,52.6
Moltres,146,fire,flying,"['Pressure', 'Flame Body']",1,1,580,3,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,100,20480,35,Flame Pokémon,90,1250000,2,90,Fireファイヤー,,125,85,90,60
Dratini,147,dragon,,"['Shed Skin', 'Marvel Scale']",1,0,300,45,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,Dragon Pokémon,45,1250000,1.8,41,Miniryuミニリュウ,50,50,50,50,3.3
Dragonair,148,dragon,,"['Shed Skin', 'Marvel Scale']",1,0,420,45,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,10240,35,Dragon Pokémon,65,1250000,4,61,Hakuryuハクリュー,50,70,70,70,16.5
Dragonite,149,dragon,flying,"['Inner Focus', 'Multiscale']",1,0,600,45,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,10240,35,Dragon Pokémon,95,1250000,2.2,91,Kairyuカイリュー,50,100,100,80,210
Mewtwo,150,psychic,,"['Pressure', 'Unnerve']",1,1,780,3,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,150,30720,0,Genetic Pokémon,70,1250000,2,106,Mewtwoミュウツー,,194,120,140,122
Mew,151,psychic,,['Synchronize'],1,1,600,45,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,30720,100,New Species Pokémon,100,1059860,0.4,100,Mewミュウ,,100,100,100,4
Chikorita,152,grass,,"['Overgrow', 'Leaf Guard']",2,0,318,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,5120,70,Leaf Pokémon,65,1059860,0.9,45,Chicoritaチコリータ,88.1,49,65,45,6.4
Bayleef,153,grass,,"['Overgrow', 'Leaf Guard']",2,0,405,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,5120,70,Leaf Pokémon,80,1059860,1.2,60,Bayleafベイリーフ,88.1,63,80,60,15.8
Meganium,154,grass,,"['Overgrow', 'Leaf Guard']",2,0,525,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,82,5120,70,Herb Pokémon,100,1059860,1.8,80,Meganiumメガニウム,88.1,83,100,80,100.5
Cyndaquil,155,fire,,"['Blaze', 'Flash Fire']",2,0,309,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,Fire Mouse Pokémon,43,1059860,0.5,39,Hinoarashiヒノアラシ,88.1,60,50,65,7.9
Quilava,156,fire,,"['Blaze', 'Flash Fire']",2,0,405,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,Volcano Pokémon,58,1059860,0.9,58,Magmarashiマグマラシ,88.1,80,65,80,19
Typhlosion,157,fire,,"['Blaze', 'Flash Fire']",2,0,534,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,84,5120,70,Volcano Pokémon,78,1059860,1.7,78,Bakphoonバクフーン,88.1,109,85,100,79.5
Totodile,158,water,,"['Torrent', 'Sheer Force']",2,0,314,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,Big Jaw Pokémon,64,1059860,0.6,50,Waninokoワニノコ,88.1,44,48,43,9.5
Croconaw,159,water,,"['Torrent', 'Sheer Force']",2,0,405,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,5120,70,Big Jaw Pokémon,80,1059860,1.1,65,Alligatesアリゲイツ,88.1,59,63,58,25
Feraligatr,160,water,,"['Torrent', 'Sheer Force']",2,0,530,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,Big Jaw Pokémon,100,1059860,2.3,85,Ordileオーダイル,88.1,79,83,78,88.8
Sentret,161,normal,,"['Run Away', 'Keen Eye', 'Frisk']",2,0,215,255,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,3840,70,Scout Pokémon,34,1000000,0.8,35,Otachiオタチ,50,35,45,20,6
Furret,162,normal,,"['Run Away', 'Keen Eye', 'Frisk']",2,0,415,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,76,3840,70,Long Body Pokémon,64,1000000,1.8,85,Ootachiオオタチ,50,45,55,90,32.5
Hoothoot,163,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",2,0,262,255,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,30,3840,70,Owl Pokémon,30,1000000,0.7,60,Hohoホーホー,50,36,56,50,21.2
Noctowl,164,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",2,0,452,90,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,Owl Pokémon,50,1000000,1.6,100,Yorunozukuヨルノズク,50,86,96,70,40.8
Ledyba,165,bug,flying,"['Swarm', 'Early Bird', 'Rattled']",2,0,265,255,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,20,3840,70,Five Star Pokémon,30,800000,1,40,Redibaレディバ,50,40,80,55,10.8
Ledian,166,bug,flying,"['Swarm', 'Early Bird', 'Iron Fist']",2,0,390,90,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,35,3840,70,Five Star Pokémon,50,800000,1.4,55,Redianレディアン,50,55,110,85,35.6
Spinarak,167,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",2,0,250,255,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,3840,70,String Spit Pokémon,40,800000,0.5,40,Itomaruイトマル,50,40,40,30,8.5
Ariados,168,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",2,0,400,90,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,3840,70,Long Leg Pokémon,70,800000,1.1,70,Ariadosアリアドス,50,60,70,40,33.5
Crobat,169,poison,flying,"['Inner Focus', 'Infiltrator']",2,0,535,90,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,3840,70,Bat Pokémon,80,1000000,1.8,85,Crobatクロバット,50,70,80,130,75
Chinchou,170,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",2,0,330,190,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,38,5120,70,Angler Pokémon,38,1250000,0.5,75,Chonchieチョンチー,50,56,56,67,12
Lanturn,171,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",2,0,460,75,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,58,5120,70,Light Pokémon,58,1250000,1.2,125,Lanternランターン,50,76,76,67,22.5
Pichu,172,electric,,"['Static', 'Lightningrod']",2,0,205,190,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,2560,70,Tiny Mouse Pokémon,15,1000000,0.3,20,Pichuピチュー,50,35,35,60,2
Cleffa,173,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",2,0,218,150,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,2560,140,Star Shape Pokémon,28,800000,0.3,50,Pyピィ,24.6,45,55,15,3
Igglybuff,174,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",2,0,210,170,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,30,2560,70,Balloon Pokémon,15,800000,0.3,90,Pupurinププリン,24.6,40,20,15,1
Togepi,175,fairy,,"['Hustle', 'Serene Grace', 'Super Luck']",2,0,245,190,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,20,2560,70,Spike Ball Pokémon,65,800000,0.3,35,Togepyトゲピー,88.1,40,65,20,1.5
Togetic,176,fairy,flying,"['Hustle', 'Serene Grace', 'Super Luck']",2,0,405,75,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,40,2560,70,Happiness Pokémon,85,800000,0.6,55,Togechickトゲチック,88.1,80,105,40,3.2
Natu,177,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",2,0,320,190,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,5120,70,Little Bird Pokémon,45,1000000,0.2,40,Natyネイティ,50,70,45,70,2
Xatu,178,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",2,0,470,75,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,75,5120,70,Mystic Pokémon,70,1000000,1.5,65,Natioネイティオ,50,95,70,95,15
Mareep,179,electric,,"['Static', 'Plus']",2,0,280,235,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,5120,70,Wool Pokémon,40,1059860,0.6,55,Merriepメリープ,50,65,45,35,7.8
Flaaffy,180,electric,,"['Static', 'Plus']",2,0,365,120,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,5120,70,Wool Pokémon,55,1059860,0.8,70,Mokokoモココ,50,80,60,45,13.3
Ampharos,181,electric,,"['Static', 'Plus']",2,0,610,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,95,5120,70,Light Pokémon,105,1059860,1.4,90,Denryuデンリュウ,50,165,110,45,61.5
Bellossom,182,grass,,"['Chlorophyll', 'Healer']",2,0,490,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,80,5120,70,Flower Pokémon,95,1059860,0.4,75,Kireihanaキレイハナ,50,90,100,50,5.8
Marill,183,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",2,0,250,190,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,20,2560,70,Aquamouse Pokémon,50,800000,0.4,70,Marilマリル,50,20,50,40,8.5
Azumarill,184,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",2,0,420,75,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,2560,70,Aquarabbit Pokémon,80,800000,0.8,100,Marilliマリルリ,50,60,80,50,28.5
Sudowoodo,185,rock,,"['Sturdy', 'Rock Head', 'Rattled']",2,0,410,65,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,100,5120,70,Imitation Pokémon,115,1000000,1.2,70,Usokkieウソッキー,50,30,65,30,38
Politoed,186,water,,"['Water Absorb', 'Damp', 'Drizzle']",2,0,500,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5120,70,Frog Pokémon,75,1059860,1.1,90,Nyorotonoニョロトノ,50,90,100,70,33.9
Hoppip,187,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",2,0,250,255,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,5120,70,Cottonweed Pokémon,40,1059860,0.4,35,Haneccoハネッコ,50,35,55,50,0.5
Skiploom,188,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",2,0,340,120,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,5120,70,Cottonweed Pokémon,50,1059860,0.6,55,Popoccoポポッコ,50,45,65,80,1
Jumpluff,189,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",2,0,460,45,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,5120,70,Cottonweed Pokémon,70,1059860,0.8,75,Wataccoワタッコ,50,55,95,110,3
Aipom,190,normal,,"['Run Away', 'Pickup', 'Skill Link']",2,0,360,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,Long Tail Pokémon,55,800000,0.8,55,Eipamエイパム,50,40,55,85,11.5
Sunkern,191,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",2,0,180,235,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,Seed Pokémon,30,1059860,0.3,30,Himanutsヒマナッツ,50,30,30,30,1.8
Sunflora,192,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",2,0,425,120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5120,70,Sun Pokémon,55,1059860,0.8,75,Kimawariキマワリ,50,105,85,30,8.5
Yanma,193,bug,flying,"['Speed Boost', 'Compoundeyes', 'Frisk']",2,0,390,75,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,5120,70,Clear Wing Pokémon,45,1000000,1.2,65,Yanyanmaヤンヤンマ,50,75,45,95,38
Wooper,194,water,ground,"['Damp', 'Water Absorb', 'Unaware']",2,0,210,255,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,Water Fish Pokémon,45,1000000,0.4,55,Upahウパー,50,25,25,15,8.5
Quagsire,195,water,ground,"['Damp', 'Water Absorb', 'Unaware']",2,0,430,90,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,Water Fish Pokémon,85,1000000,1.4,95,Nuohヌオー,50,65,65,35,75
Espeon,196,psychic,,"['Synchronize', 'Magic Bounce']",2,0,525,45,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,8960,70,Sun Pokémon,60,1000000,0.9,65,Eifieエーフィ,88.1,130,95,110,26.5
